dataset,abs_readability_diff,bertscore,meteor,abs_sentiment_diff,abs_subjectivity_diff,data
0_met,3.834249260129198,0.4405308961868286,0.03405370323335332,0.1705817907964072,0.4008420038711044,real
0_unmet,6.521433905375847,0.469333678483963,0.05418248611401986,0.13217012168101502,0.16277137230714395,real
1_met,5.694356511920862,0.5421537756919861,0.09723677935432269,0.17110156656710154,0.14481455834593693,real
1_unmet,4.081771168390119,0.4668533504009247,0.045490504436674996,0.14200105495291124,0.19552459282648166,real
2_met,4.929706169177898,0.48928576707839966,0.09346631482590337,0.12325028977824032,0.1679779718592152,real
2_unmet,6.32827655117941,0.4160640835762024,0.006076231172826704,0.10346151810564508,0.37309662230332863,real
3_met,6.130734701370972,0.5370052456855774,0.13647165858348698,0.1355454327492627,0.16006037402127293,real
3_unmet,4.548683891559342,0.48097389936447144,0.05663456338038279,0.436367661384318,0.3699363509165986,real
4_met,4.550568698440987,0.4827325642108917,0.1174074974195914,0.19796110261441516,0.2599405874497152,real
4_unmet,5.959804179552343,0.48083949089050293,0.062092279695136005,0.1522702745335546,0.19641633094405145,real
0_met,1.4562432612530714,0.5077353715896606,0.15308815060648934,0.21184298608653301,0.1528140948767711,fake
0_unmet,1.229675248152759,0.5091063380241394,0.08617823180051108,0.46314442509332,0.476993676025849,fake
1_met,0.7304856524767054,0.5143520832061768,0.14281315757130683,0.2639640704586225,0.18589442756157343,fake
1_unmet,2.915742928209358,0.5456826686859131,0.13615954701067978,0.11421716404907,0.13330353775390505,fake
2_met,0.3751645080608448,0.5074289441108704,0.10435317108714993,0.16307858246075183,0.2498684804783267,fake
2_unmet,1.15546932254437,0.49403247237205505,0.09635573571423035,0.14515420113082653,0.2085216192447114,fake
3_met,0.1257810080455215,0.5138459801673889,0.15236690748405432,0.15700837043961124,0.2367722419392768,fake
3_unmet,1.9234899876643041,0.5210534930229187,0.13227037600455333,0.1194053843243223,0.3761589114433967,fake
4_met,5.1349998646273605,0.5453333854675293,0.19095091202933315,0.17063409870440863,0.30606576106240097,fake
4_unmet,3.2000327228474816,0.5268125534057617,0.18985631177825477,0.09823646399483453,0.29414309021134494,fake
