dataset,needs,notes_number,readability,abs_readability_diff,bertscore,meteor,sentiment,subjectivity,abs_sentiment_diff,abs_subjectivity_diff,data
0_met,met,270,19.20356613698218,3.834249260129198,0.4405308961868286,0.03405370323335332,0.1087578225835501,0.4008420038711044,0.1705817907964072,0.4008420038711044,real
0_unmet,unmet,258,21.890750782228828,6.521433905375847,0.4693337082862854,0.05418248611401986,0.030019242930830203,0.35600514660659677,0.13217012168101502,0.16277137230714395,real
1_met,met,243,21.063673388773843,5.694356511920862,0.5421537160873413,0.09723677935432269,0.11738708983822152,0.4087631276854528,0.17110156656710154,0.14481455834593693,real
1_unmet,unmet,329,19.4510880452431,4.081771168390119,0.46685341000556946,0.045490504436674996,0.021529665846046653,0.3845905337807205,0.14200105495291124,0.19552459282648166,real
2_met,met,242,20.29902304603088,4.929706169177898,0.4892856776714325,0.09346631482590337,0.18320117846199027,0.4488054211138232,0.12325028977824032,0.1679779718592152,real
2_unmet,unmet,225,21.69759342803239,6.32827655117941,0.4160640835762024,0.006076231172826704,0.010338787937518096,0.37309662230332863,0.10346151810564508,0.37309662230332863,real
3_met,met,262,21.500051578223953,6.130734701370972,0.5370053052902222,0.13647165858348698,0.11661256351655797,0.3735352473760569,0.1355454327492627,0.16006037402127293,real
3_unmet,unmet,320,19.918000768412323,4.548683891559342,0.48097389936447144,0.05663456338038279,0.020780776115682062,0.3575255881859655,0.436367661384318,0.3699363509165986,real
4_met,met,269,19.919885575293968,4.550568698440987,0.48273271322250366,0.1174074974195914,0.14917334596055387,0.4358204617035273,0.19796110261441516,0.2599405874497152,real
4_unmet,unmet,277,21.329121056405324,5.959804179552343,0.48083949089050293,0.062092279695136005,0.06905967393087042,0.3777881030237915,0.1522702745335546,0.19641633094405145,real
0_met,met,224,18.20397034612059,1.4562432612530714,0.5077353715896606,0.15308815060648934,0.19518629642203084,0.46490999641954595,0.21184298608653301,0.1528140948767711,fake
0_unmet,unmet,310,17.97740233302028,1.229675248152759,0.5091063380241394,0.08617823180051108,-0.012497175902381431,0.3824723433916268,0.46314442509332,0.476993676025849,fake
1_met,met,236,17.478212737344226,0.7304856524767054,0.5143520832061768,0.14281315757130683,0.20128512243887547,0.44906437658155274,0.2639640704586225,0.18589442756157343,fake
1_unmet,unmet,219,19.66347001307688,2.915742928209358,0.5456826686859131,0.13615954701067978,-0.005013134475123043,0.38211738082145813,0.11421716404907,0.13330353775390505,fake
2_met,met,239,17.122891592928365,0.3751645080608448,0.5074289441108704,0.10435317108714993,0.20228543601376497,0.46736054397039023,0.16307858246075183,0.2498684804783267,fake
2_unmet,unmet,285,17.90319640741189,1.15546932254437,0.4940323531627655,0.09635573571423035,0.022975858810378936,0.36999886546875577,0.14515420113082653,0.2085216192447114,fake
3_met,met,291,16.873508092913042,0.1257810080455215,0.5138459801673889,0.15236690748405432,0.1464456355350133,0.4200380816741887,0.15700837043961124,0.2367722419392768,fake
3_unmet,unmet,247,18.671217072531824,1.9234899876643041,0.5210534334182739,0.13227037600455333,0.053186350642882595,0.3761589114433967,0.1194053843243223,0.3761589114433967,fake
4_met,met,183,21.88272694949488,5.1349998646273605,0.5453333854675293,0.19095091202933315,0.0872476384736861,0.3627982817293478,0.17063409870440863,0.30606576106240097,fake
4_unmet,unmet,256,19.947759807715002,3.2000327228474816,0.5268125534057617,0.18985631177825477,0.005257909237959462,0.35921470479467826,0.09823646399483453,0.29414309021134494,fake
